symbol,revenue_year_ago,avg_estimate_earnings_current_year,avg_estimate_earnings_next_year,avg_estimate_revenue_current_year,avg_estimate_revenue_next_year
AALI.JK,20.75B,618.6,635.05,23.31B,24.23B
ABBA.JK,--,0,0,--,--
ABDA.JK,,,,,
ABMM.JK,--,0,0,--,--
ACES.JK,7.61B,50.32,57.02,8.27B,9.05B
ACRO.JK,,,,,
ACST.JK,3.03B,0,0,3.59B,4.78B
ADCP.JK,,,,,
ADES.JK,--,0,0,--,--
ADHI.JK,11.06B,0,0,15.16B,15.66B
ADMF.JK,--,0,0,--,--
ADMG.JK,--,0,0,--,--
ADMR.JK,17.6T,178.31,162.1,18.68T,22.61T
ADRO.JK,105.65T,534.94,405.26,86.33T,78.62T
AEGS.JK,,,,,
AGAR.JK,,,,,
AGII.JK,--,0,0,--,--
AGRO.JK,890.96M,1.6,1.9,800M,988M
AGRS.JK,,,,,
AHAP.JK,--,0,0,--,--
AIMS.JK,--,0,0,--,--
AISA.JK,4.92B,0,0,5.3B,5.72B
AKKU.JK,,,,,
AKPI.JK,,,,,
AKRA.JK,41.82B,148.14,156.46,42.6B,44.7B
AKSI.JK,,,,,
ALDO.JK,--,0,0,--,--
ALII.JK,,,,,
ALKA.JK,,,,,
ALMI.JK,,,,,
ALTO.JK,,,,,
AMAG.JK,--,0,0,--,--
AMAN.JK,,,,,
AMAR.JK,,,,,
AMFG.JK,--,0,0,--,--
AMIN.JK,,,,,
AMMN.JK,--,0,0,--,--
AMMS.JK,,,,,
AMOR.JK,211.82M,0,0,426M,473M
AMRT.JK,106.94B,102.83,121.43,119.71B,132.16B
ANDI.JK,,,,,
ANJT.JK,--,0,0,--,--
ANTM.JK,45.93B,150.96,138.04,41.05B,43.68B
APEX.JK,,,,,
APIC.JK,,,,,
APII.JK,,,,,
APLI.JK,--,0,0,--,--
APLN.JK,--,0,0,6.19B,--
ARCI.JK,--,0,0,--,--
AREA.JK,,,,,
ARGO.JK,,,,,
ARII.JK,,,,,
ARKA.JK,,,,,
ARKO.JK,,,,,
ARMY.JK,,,,,
ARNA.JK,2.45B,105.11,0,3.26B,--
ARTA.JK,,,,,
ARTI.JK,--,0,0,--,--
ARTO.JK,1.76B,12.36,29.58,2.25B,3.04B
ASBI.JK,,,,,
ASDM.JK,--,0,0,--,--
ASGR.JK,--,0,0,3.96B,--
ASHA.JK,,,,,
ASII.JK,316.56B,753.75,774.05,313.59B,323.3B
ASJT.JK,,,,,
ASLC.JK,--,0,0,--,--
ASLI.JK,,,,,
ASMI.JK,,,,,
ASPI.JK,,,,,
ASRI.JK,4.49B,15.0,16.3,3.96B,3.55B
ASRM.JK,--,0,0,--,--
ASSA.JK,1.57B,0,0,1.69B,1.86B
ATAP.JK,,,,,
ATIC.JK,--,0,0,--,--
ATLA.JK,,,,,
AUTO.JK,18.65B,395.41,411.89,19.83B,20.14B
AVIA.JK,7.02B,27.22,29.71,7.52B,8.1B
AWAN.JK,,,,,
AXIO.JK,,,,,
AYAM.JK,,,,,
AYLS.JK,,,,,
BABP.JK,--,0,0,--,--
BABY.JK,,,,,
BACA.JK,--,0,0,--,--
BAIK.JK,,,,,
BAJA.JK,,,,,
BALI.JK,,,,,
BANK.JK,250.25M,-10.34,0.3,583.14M,999.02M
BAPA.JK,,,,,
BAPI.JK,,,,,
BATA.JK,,,,,
BAUT.JK,,,,,
BAYU.JK,,,,,
BBCA.JK,93.67B,430.52,469.85,107.86B,117.12B
BBHI.JK,,,,,
BBKP.JK,--,0,0,--,--
BBLD.JK,--,0,0,--,--
BBMD.JK,,,,,
BBNI.JK,59.5B,630.79,712.61,67.32B,73.16B
BBRI.JK,188.07B,440.17,493.49,198.03B,217.88B
