symbol,year,eps_estimate,revenue_estimate
AALI.JK,2024,553.4,22594000000000
AALI.JK,2025,569.03,23242700000000
ACES.JK,2024,50.13,8507300000000
ACES.JK,2025,57.99,9441910000000
ADHI.JK,2024,0.0,15156200000000
ADHI.JK,2025,0.0,15655500000000
ADRO.JK,2024,616.37,89261700000000
ADRO.JK,2025,470.39,82675000000000
AGRO.JK,2024,1.6,800000000000
AGRO.JK,2025,1.9,988000000000
AKRA.JK,2024,151.14,42348800000000
AKRA.JK,2025,158.97,45464400000000
AMRT.JK,2024,102.07,119337000000000
AMRT.JK,2025,121.53,132050000000000
ANTM.JK,2024,110.53,46616000000000
ANTM.JK,2025,134.1,51606100000000
ARNA.JK,2024,0.0,3258080000000
ARNA.JK,2025,0.0,0
ARTO.JK,2024,11.59,2148630000000
ARTO.JK,2025,27.32,2941420000000
ASII.JK,2024,739.78,308376000000000
ASII.JK,2025,748.81,316388000000000
ASRI.JK,2024,0.0,3956020000000
ASRI.JK,2025,0.0,3549000000000
AVIA.JK,2024,27.53,7599220000000
AVIA.JK,2025,30.01,8207890000000
BANK.JK,2024,-8.1,538070000000
BANK.JK,2025,-0.01,899710000000
BBCA.JK,2024,434.14,108518000000000
BBCA.JK,2025,474.93,117975000000000
BBRI.JK,2024,401.14,197689000000000
BBRI.JK,2025,450.18,213801000000000
BBTN.JK,2024,265.98,18361800000000
BBTN.JK,2025,304.34,20492900000000
BEST.JK,2024,0.0,640000000000
BEST.JK,2025,0.0,818000000000
BFIN.JK,2024,110.1,5842000000000
BFIN.JK,2025,125.25,6536500000000
BIRD.JK,2024,200.21,4801140000000
BIRD.JK,2025,242.37,5513290000000
BJTM.JK,2024,0.0,3856100000000
BJTM.JK,2025,0.0,4271730000000
BMRI.JK,2024,598.91,147531000000000
BMRI.JK,2025,659.01,161951000000000
BNGA.JK,2024,262.09,20111000000000
BNGA.JK,2025,293.18,21526500000000
BNII.JK,2024,0.0,7132150000000
BNII.JK,2025,0.0,7913160000000
BRIS.JK,2024,145.2,22512200000000
BRIS.JK,2025,174.33,25849300000000
BRPT.JK,2024,0.0,50741300000000
BRPT.JK,2025,0.0,53962700000000
BSDE.JK,2024,120.09,11099200000000
BSDE.JK,2025,132.87,11493700000000
BTPN.JK,2024,271.6,14776000000000
BTPN.JK,2025,233.61,15542000000000
BTPS.JK,2024,178.12,5371880000000
BTPS.JK,2025,216.54,5682000000000
CFIN.JK,2024,0.0,874000000000
CFIN.JK,2025,0.0,958000000000
CPIN.JK,2024,188.64,65034200000000
CPIN.JK,2025,231.02,69172600000000
CTRA.JK,2024,112.89,10112400000000
CTRA.JK,2025,122.43,10788300000000
DMAS.JK,2024,23.98,1870560000000
DMAS.JK,2025,26.36,2076010000000
EMTK.JK,2024,5.54,9807000000000
EMTK.JK,2025,6.57,10411000000000
ENRG.JK,2024,0.0,3168890000000
ENRG.JK,2025,0.0,0
ESSA.JK,2024,0.0,5918710000000
ESSA.JK,2025,0.0,5516350000000
EXCL.JK,2024,138.06,34544100000000
EXCL.JK,2025,163.4,36726100000000
GGRM.JK,2024,0.0,45655100000000
GGRM.JK,2025,2605.39,108716000000000
GJTL.JK,2024,0.0,15202000000000
GJTL.JK,2025,0.0,0
GOTO.JK,2024,-10.59,16911700000000
GOTO.JK,2025,-5.32,21952700000000
HEAL.JK,2024,41.68,6757790000000
HEAL.JK,2025,49.55,7633520000000
HMSP.JK,2024,0.0,115983000000000
HMSP.JK,2025,74.33,125090000000000
HOKI.JK,2024,0.0,1441200000000
HOKI.JK,2025,0.0,1829100000000
HRUM.JK,2024,210.86,22903200000000
HRUM.JK,2025,243.3,27497900000000
ICBP.JK,2024,790.34,72269900000000
ICBP.JK,2025,869.29,77523300000000
INCO.JK,2024,194.64,15766700000000
INCO.JK,2025,243.3,17011100000000
INDF.JK,2024,1131.56,116018000000000
INDF.JK,2025,1209.03,122908000000000
INDY.JK,2024,0.0,42613700000000
INDY.JK,2025,275.74,39273600000000
INTP.JK,2024,473.44,18955600000000
INTP.JK,2025,520.15,19834300000000
ITMG.JK,2024,6066.35,36527100000000
ITMG.JK,2025,4087.49,33096300000000
JPFA.JK,2024,145.5,53622100000000
JPFA.JK,2025,161.12,56312800000000
KAEF.JK,2024,0.0,7301000000000
KAEF.JK,2025,0.0,9052000000000
KLBF.JK,2024,66.17,32529000000000
KLBF.JK,2025,73.02,34965800000000
LPKR.JK,2024,0.0,16846900000000
LPKR.JK,2025,6.2,18315000000000
LPPF.JK,2024,346.99,7597220000000
LPPF.JK,2025,369.39,8015300000000
LSIP.JK,2024,141.95,4591500000000
LSIP.JK,2025,136.8,4633500000000
