symbol,revenue_year_ago,avg_estimate_earnings_current_year,avg_estimate_earnings_next_year,avg_estimate_revenue_current_year,avg_estimate_revenue_next_year
SPTO.JK,,,0.0,,0
BTPS.JK,5299420000.0,178.12,216.54,5371880000.0,5682000000
PTPP.JK,19993900000.0,0.0,0.0,23337000000.0,25903000000
SIMP.JK,16002600000.0,0.0,0.0,16315000000.0,17523000000
INDF.JK,111704000000.0,1131.56,1209.03,116018000000.0,122908000000
PZZA.JK,3543980000.0,0.0,0.0,3881000000.0,4321000000
BJTM.JK,3807760000.0,0.0,0.0,3856100000.0,4271730000
SMRA.JK,5719400000.0,0.0,56.05,6658780000.0,7401740000
BBTN.JK,15076500000.0,265.98,304.34,18361800000.0,20492900000
ASRI.JK,4493530000.0,0.0,0.0,3956020000.0,3549000000
BBCA.JK,93669000000.0,434.14,474.93,108518000000.0,117975000000
BRIS.JK,20463000000.0,145.2,174.33,22512200000.0,25849300000
AMRT.JK,106945000000.0,102.07,121.53,119337000000.0,132050000000
MTEL.JK,8594530000.0,26.15,28.44,9262930000.0,9762110000
KAEF.JK,6127480000.0,0.0,0.0,7301000000.0,9052000000
DMAS.JK,1893490000.0,23.98,26.36,1870560000.0,2076010000
DOID.JK,,,0.0,,0
AALI.JK,20745500000.0,553.4,569.03,22594000000.0,23242700000
HMSP.JK,111211000000.0,0.0,74.33,115983000000.0,125090000000
MEDC.JK,37047100000000.0,227.08,194.64,35677100000000.0,34159700000000
TBLA.JK,15317600000.0,0.0,0.0,17104000000.0,19242000000
VIVA.JK,2774990000.0,0.0,0.0,3600000000.0,0
WOOD.JK,,,0.0,,0
INDY.JK,49852700000000.0,0.0,275.74,42613700000000.0,39273600000000
TINS.JK,8391910000.0,118.4,156.1,10764000000.0,12637000000
BRPT.JK,44773600000000.0,0.0,0.0,50741300000000.0,53962700000000
ESSA.JK,5599490000000.0,0.0,0.0,5918710000000.0,5516350000000
EXCL.JK,32322700000.0,138.06,163.4,34544100000.0,36726100000
ADHI.JK,11063900000.0,0.0,0.0,15156200000.0,15655500000
AVIA.JK,7016880000.0,27.53,30.01,7599220000.0,8207890000
BRMS.JK,157803000000.0,0.0,0.0,0.0,768137000000
SIDO.JK,3565930000.0,39.07,42.22,3975550000.0,4308350000
ICBP.JK,67909900000.0,790.34,869.29,72269900000.0,77523300000
JRPT.JK,,,0.0,,2781430000
BNGA.JK,17162600000.0,262.09,293.18,20111000000.0,21526500000
WTON.JK,,,0.0,,0
GOTO.JK,11349200000.0,-10.59,-5.32,16911700000.0,21952700000
HEAL.JK,5784090000.0,41.68,49.55,6757790000.0,7633520000
MIKA.JK,4264280000.0,81.77,92.67,4903280000.0,5491010000
BNII.JK,6250130000.0,0.0,0.0,7132150000.0,7913160000
TOTO.JK,,,0.0,,0
ARNA.JK,2447440000.0,0.0,0.0,3258080000.0,0
BMTR.JK,10829500000.0,0.0,0.0,11829000000.0,0
KIJA.JK,2994760000.0,0.0,0.0,4033930000.0,0
MTDL.JK,,,0.0,,0
LPPF.JK,6538590000.0,346.99,369.39,7597220000.0,8015300000
PBRX.JK,6455260000000.0,0.0,0.0,482000000.0,553000000
TLKM.JK,149216000000.0,262.89,278.51,154433000000.0,160959000000
TPIA.JK,35574500000000.0,0.0,16.22,38621100000000.0,39257600000000
SSIA.JK,4537650000.0,101.78,94.98,5568370000.0,5564360000
GGRM.JK,124683000000.0,0.0,2605.39,45655100000.0,108716000000
MPPA.JK,,,0.0,,0
LPKR.JK,14674100000.0,0.0,6.2,16846900000.0,18315000000
BEST.JK,544315000.0,0.0,0.0,640000000.0,818000000
POWR.JK,8758020000000.0,81.1,81.1,8904890000000.0,8888670000000
ITMG.JK,38100600000000.0,6066.35,4087.49,36527100000000.0,33096300000000
ASII.JK,316565000000.0,739.78,748.81,308376000000.0,316388000000
RALS.JK,2744430000.0,49.17,55.56,3684570000.0,4075850000
BIRD.JK,4422470000.0,200.21,242.37,4801140000.0,5513290000
ENRG.JK,6123570000.0,0.0,0.0,3168890000.0,0
UNVR.JK,38611400000.0,132.67,139.0,39504700000.0,40816000000
BJBR.JK,,,0.0,,11545100000
SAME.JK,775567000.0,0.0,0.0,954000000.0,1137000000
GIAA.JK,,,0.0,,0
CTRA.JK,9245030000.0,112.89,122.43,10112400000.0,10788300000
BANK.JK,250249000.0,-8.1,-0.01,538070000.0,899710000
HOKI.JK,1209210000.0,0.0,0.0,1441200000.0,1829100000
SILO.JK,11190500000.0,93.36,120.01,12562300000.0,13992300000
MAPI.JK,33318800000.0,123.73,146.92,38121400000.0,43166400000
BFIN.JK,6353110000.0,110.1,125.25,5842000000.0,6536500000
WINS.JK,828996000.0,0.0,0.0,954690000.0,1012550000
BMRI.JK,138532000000.0,598.91,659.01,147531000000.0,161951000000
ARTO.JK,1762460000.0,11.59,27.32,2148630000.0,2941420000
ACES.JK,7611870000.0,50.13,57.99,8507300000.0,9441910000
SUPR.JK,1821450000.0,0.0,0.0,1908490000.0,2397520000
CFIN.JK,1399100000.0,0.0,0.0,874000000.0,958000000
ROTI.JK,3820530000.0,69.15,76.31,4229470000.0,4536890000
SSMS.JK,,,0.0,,5082000000
ADRO.JK,104529000000000.0,616.37,470.39,89261700000000.0,82675000000000
SMCB.JK,9382120000.0,0.0,0.0,9574010000.0,10299800000
BSDE.JK,11539100000.0,120.09,132.87,11099200000.0,11493700000
MPMX.JK,,,141.87,,15116000000
GJTL.JK,14146900000.0,0.0,0.0,15202000000.0,0
LSIP.JK,4189900000.0,141.95,136.8,4591500000.0,4633500000
MAPA.JK,13558600000.0,52.71,65.93,16560100000.0,19901700000
MCAS.JK,11697100000.0,38.31,59.64,13806600000.0,14662000000
JPFA.JK,51175900000.0,145.5,161.12,53622100000.0,56312800000
SMBR.JK,1551530000.0,0.0,0.0,1730200000.0,1881230000
AKRA.JK,41817400000.0,151.14,158.97,42348800000.0,45464400000
EMTK.JK,9241420000.0,5.54,6.57,9807000000.0,10411000000
WIKA.JK,22530400000.0,0.0,0.0,26391000000.0,29855000000
KLBF.JK,30449100000.0,66.17,73.02,32529000000.0,34965800000
