symbol,year,sub_sector_id,eps_estimate,revenue_estimate
AALI.JK,2023,2,622.59,21150000000.0
AALI.JK,2024,2,649.81,20840000000.0
ACES.JK,2023,14,,6760000000.0
ACES.JK,2024,14,41.32,7310000000.0
ADHI.JK,2023,27,,15160000000.0
ADHI.JK,2024,27,,15660000000.0
ADRO.JK,2023,18,692.97,95780000000000.0
ADRO.JK,2024,18,477.38,80490000000000.0
AGRO.JK,2023,19,,1140000000.0
AGRO.JK,2024,19,,1480000000.0
AKRA.JK,2023,18,127.13,41010000000.0
AKRA.JK,2024,18,138.67,42700000000.0
AMRT.JK,2023,15,84.81,107770000000.0
AMRT.JK,2024,15,103.62,120990000000.0
ANTM.JK,2023,8,160.14,41950000000.0
ANTM.JK,2024,8,172.58,43100000000.0
ARNA.JK,2023,5,,2950000000.0
ARNA.JK,2024,5,,3260000000.0
ARTO.JK,2023,19,5.96,1880000000.0
ARTO.JK,2024,19,15.76,2520000000.0
ASII.JK,2023,26,782.39,315510000000.0
ASII.JK,2024,26,791.96,319900000000.0
ASRI.JK,2023,7,19.48,3230000000.0
ASRI.JK,2024,7,26.96,3510000000.0
AUTO.JK,2023,10,364.05,19690000000.0
AUTO.JK,2024,10,395.63,21160000000.0
AVIA.JK,2023,8,24.83,7010000000.0
AVIA.JK,2024,8,26.56,7500000000.0
BANK.JK,2023,19,-9.71,258970000.00000003
BANK.JK,2024,19,6.99,684810000.0
BBCA.JK,2023,19,398.18,100370000000.0
BBCA.JK,2024,19,432.0,109740000000.0
BBNI.JK,2023,19,567.55,63780000000.0
BBNI.JK,2024,19,636.79,68920000000.0
BBRI.JK,2023,19,388.96,183940000000.0
BBRI.JK,2024,19,433.29,199040000000.0
BBTN.JK,2023,19,238.88,17610000000.0
BBTN.JK,2024,19,267.47,19080000000.0
BDMN.JK,2023,19,,18940000000.0
BDMN.JK,2024,19,,20380000000.0
BEST.JK,2023,7,14.3,580000000.0
BEST.JK,2024,7,20.3,640000000.0
BFIN.JK,2023,20,94.8,5320000000.0
BFIN.JK,2024,20,113.7,6220000000.0
BIRD.JK,2023,33,195.0,4250000000.0
BIRD.JK,2024,33,215.0,4960000000.0
BJBR.JK,2023,19,183.0,9200000000.0
BJBR.JK,2024,19,205.0,10150000000.0
BJTM.JK,2023,19,,3860000000.0
BJTM.JK,2024,19,,4269999999.9999995
BMRI.JK,2023,19,548.61,137970000000.0
BMRI.JK,2024,19,601.43,151150000000.0
BMTR.JK,2023,13,,11830000000.0
BNGA.JK,2023,19,253.9,20000000000.0
BNGA.JK,2024,19,278.6,21350000000.0
BNII.JK,2023,19,,7130000000.0
BNII.JK,2024,19,,7910000000.0
