symbol,year,eps_estimate,revenue_estimate
AALI.JK,2023,622.59,21150000000000.0
AALI.JK,2024,649.81,20840000000000.0
ACES.JK,2023,,6760000000000.0
ACES.JK,2024,41.56,7360000000000.0
ADHI.JK,2023,,15160000000000.0
ADHI.JK,2024,,15660000000000.0
ADRO.JK,2023,696.06,94190000000000.0
ADRO.JK,2024,479.51,79880000000000.0
AGRO.JK,2023,,1140000000000.0
AGRO.JK,2024,,1480000000000.0
AKRA.JK,2023,129.74,42520000000000.0
AKRA.JK,2024,142.69,44250000000000.0
AMRT.JK,2023,84.55,107950000000000.0
AMRT.JK,2024,102.55,121080000000000.0
ANTM.JK,2023,160.14,41550000000000.0
ANTM.JK,2024,169.83,42370000000000.0
ARNA.JK,2023,,2950000000000.0
ARNA.JK,2024,,3260000000000.0
ARTO.JK,2023,5.66,1820000000000.0
ARTO.JK,2024,13.74,2390000000000.0
ASII.JK,2023,785.03,315640000000000.0
ASII.JK,2024,791.91,319220000000000.0
ASRI.JK,2023,19.48,3230000000000.0
ASRI.JK,2024,26.96,3510000000000.0
AUTO.JK,2023,364.05,19690000000000.0
AUTO.JK,2024,395.63,21160000000000.0
AVIA.JK,2023,24.83,7010000000000.0
AVIA.JK,2024,26.56,7500000000000.0
BANK.JK,2023,-10.51,259180000000.0
BANK.JK,2024,-3.88,466210000000.0
BBCA.JK,2023,398.74,100470000000000.0
BBCA.JK,2024,432.75,109690000000000.0
BBNI.JK,2023,569.71,63720000000000.0
BBNI.JK,2024,637.88,68730000000000.0
BBRI.JK,2023,388.41,184260000000000.0
BBRI.JK,2024,434.96,199670000000000.0
BBTN.JK,2023,239.08,17360000000000.0
BBTN.JK,2024,268.72,19180000000000.0
BDMN.JK,2023,,18940000000000.0
BDMN.JK,2024,,20380000000000.0
BEST.JK,2023,14.3,580000000000.0
BEST.JK,2024,20.3,640000000000.0
BFIN.JK,2023,94.8,5320000000000.0
BFIN.JK,2024,113.7,6220000000000.0
BIRD.JK,2023,195.0,4960000000000.0
BIRD.JK,2024,215.0,4960000000000.0
BJBR.JK,2023,183.0,9200000000000.0
BJBR.JK,2024,205.0,10150000000000.0
BJTM.JK,2023,,3860000000000.0
BJTM.JK,2024,,4269999999999.9995
BMRI.JK,2023,547.64,137030000000000.0
BMRI.JK,2024,599.32,149530000000000.0
BMTR.JK,2023,,11830000000000.0
BNGA.JK,2023,253.9,20000000000000.0
BNGA.JK,2024,278.6,21350000000000.0
BNII.JK,2023,,7130000000000.0
BNII.JK,2024,,7910000000000.0
BRIS.JK,2023,118.25,20640000000000.0
BRIS.JK,2024,141.31,23010000000000.0
BRMS.JK,2024,,679150000000.0
BRPT.JK,2023,,42130000000000.0
BRPT.JK,2024,,46190000000000.0
BSDE.JK,2023,123.01,9910000000000.0
BSDE.JK,2024,124.51,10140000000000.0
BTPN.JK,2023,385.74,14320000000000.0
BTPN.JK,2024,435.65,14780000000000.0
BTPS.JK,2023,181.68,5320000000000.0
BTPS.JK,2024,243.99,5730000000000.0
BUKA.JK,2023,-3.69,4640000000000.0
BUKA.JK,2024,3.29,5650000000000.0
CFIN.JK,2023,,874000000000.0
CFIN.JK,2024,,958000000000.0
CPIN.JK,2023,214.37,60670000000000.0
CPIN.JK,2024,251.12,64489999999999.99
CSAP.JK,2023,,10770000000000.0
CSAP.JK,2024,,12340000000000.0
CTRA.JK,2023,104.94,9300000000000.0
CTRA.JK,2024,122.72,10100000000000.0
DILD.JK,2023,,3060000000000.0
DILD.JK,2024,,3130000000000.0
DMAS.JK,2023,23.51,1900000000000.0
DMAS.JK,2024,22.14,1820000000000.0
DOID.JK,2023,,21310000000000.0
DOID.JK,2024,,23850000000000.0
EMTK.JK,2023,10.42,16010000000000.002
EMTK.JK,2024,18.42,17570000000000.0
ENRG.JK,2023,,3170000000000.0
ERAA.JK,2023,48.31,57220000000000.0
ERAA.JK,2024,63.54,64680000000000.01
ESSA.JK,2023,15.47,4680000000000.0
ESSA.JK,2024,15.47,4139999999999.9995
EXCL.JK,2023,100.29,31510000000000.0
EXCL.JK,2024,128.69,33619999999999.996
GGRM.JK,2023,3435.49,130780000000000.0
GGRM.JK,2024,3527.67,131630000000000.0
GIAA.JK,2023,,3320000000.0
GJTL.JK,2023,,15200000000000.0
GOTO.JK,2023,-10.59,16910000000000.0
GOTO.JK,2024,-5.32,21950000000000.0
HEAL.JK,2023,33.49,5740000000000.0
HEAL.JK,2024,42.4,6440000000000.0
HMSP.JK,2023,70.82,116960000000000.0
HMSP.JK,2024,77.95,125270000000000.0
HOKI.JK,2023,,1440000000000.0
HOKI.JK,2024,,1830000000000.0
HRUM.JK,2023,247.49,12660000000000.0
HRUM.JK,2024,247.49,15260000000000.0
ICBP.JK,2023,781.28,69580000000000.0
ICBP.JK,2024,828.04,75500000000000.0
IMAS.JK,2023,,15870000000000.0
IMAS.JK,2024,,17280000000000.0
INCO.JK,2023,417.64,19240000000000.0
INCO.JK,2024,293.89,17160000000000.0
INDF.JK,2023,1081.77,115930000000000.0
INDF.JK,2024,1202.94,124860000000000.0
INDY.JK,2023,587.78,49450000000000.0
INDY.JK,2024,324.83,40080000000000.0
INTP.JK,2023,546.09,17640000000000.0
INTP.JK,2024,621.29,19010000000000.0
ISAT.JK,2023,419.46,50490000000000.0
ISAT.JK,2024,570.09,53750000000000.0
ITMG.JK,2023,7656.66,37730000000000.0
ITMG.JK,2024,4856.95,31140000000000.0
JKON.JK,2023,,6270000000000.0
JKON.JK,2024,,6730000000000.0
JPFA.JK,2023,130.87,51590000000000.0
JPFA.JK,2024,151.2,54660000000000.0
JRPT.JK,2023,,2390000000000.0
JRPT.JK,2024,,2570000000000.0
JSMR.JK,2023,320.84,15430000000000.0
JSMR.JK,2024,420.76,18020000000000.0
KAEF.JK,2023,,7300000000000.0
KAEF.JK,2024,,9050000000000.0
KIJA.JK,2023,,4030000000000.0005
KLBF.JK,2023,65.84,30880000000000.0
KLBF.JK,2024,75.79,33470000000000.0
LPCK.JK,2023,,1560000000000.0
LPCK.JK,2024,,1740000000000.0
LPKR.JK,2023,10.16,14800000000000.0
LPKR.JK,2024,11.0,17000000000000.0
LPPF.JK,2023,406.8,7470000000000.0
LPPF.JK,2024,452.91,8039999999999.999
LSIP.JK,2023,111.95,4230000000000.0005
LSIP.JK,2024,126.4,4460000000000.0
MAIN.JK,2023,69.3,11880000000000.0
MAIN.JK,2024,82.3,12760000000000.0
MAPA.JK,2023,49.79,13100000000000.0
MAPA.JK,2024,60.95,16219999999999.998
MAPI.JK,2023,130.31,32799999999999.996
MAPI.JK,2024,147.38,37440000000000.0
MBSS.JK,2023,,1140000000000.0
MBSS.JK,2024,,1290000000000.0
MCAS.JK,2023,11.6,12680000000000.0
MCAS.JK,2024,38.31,14230000000000.0
MEDC.JK,2023,185.62,33500000000000.0
MEDC.JK,2024,201.08,32270000000000.004
MIKA.JK,2023,69.0,4320000000000.0
MIKA.JK,2024,80.31,4850000000000.0
MLBI.JK,2023,514.51,3520000000000.0
MLBI.JK,2024,565.98,3880000000000.0
MPMX.JK,2023,,12470000000000.0
MPMX.JK,2024,123.91,13510000000000.0
MPPA.JK,2023,,9190000000000.0
MTDL.JK,2023,,24020000000000.0
MTDL.JK,2024,,27630000000000.0
MTEL.JK,2023,24.65,8610000000000.0
MTEL.JK,2024,27.9,9270000000000.0
MYOR.JK,2023,120.6,32759999999999.996
MYOR.JK,2024,140.73,36010000000000.0
PANR.JK,2023,,250000000.0
PBRX.JK,2023,,482000000.0
PBRX.JK,2024,,553000000.0
PGAS.JK,2023,185.62,53290000000000.0
PGAS.JK,2024,185.62,53880000000000.0
PNLF.JK,2023,,4580000000000.0
PNLF.JK,2024,,4870000000000.0
POWR.JK,2023,,8560000000000.001
POWR.JK,2024,92.81,8550000000000.001
PTBA.JK,2023,537.21,38440000000000.0
PTBA.JK,2024,450.53,37070000000000.0
PTPP.JK,2023,104.6,23260000000000.0
PTPP.JK,2024,53.9,23340000000000.0
PWON.JK,2023,42.36,6140000000000.0
PWON.JK,2024,45.38,6500000000000.0
PZZA.JK,2023,1.4,3730000000000.0
PZZA.JK,2024,8.3,3880000000000.0
RALS.JK,2023,49.85,3270000000000.0
RALS.JK,2024,57.45,3570000000000.0
ROTI.JK,2023,59.72,4090000000000.0
ROTI.JK,2024,75.6,4510000000000.0
SAME.JK,2023,,954000000000.0
SAME.JK,2024,,1140000000000.0
SCMA.JK,2023,12.55,6770000000000.0
SCMA.JK,2024,15.15,7400000000000.0
SIDO.JK,2023,31.55,3530000000000.0
SIDO.JK,2024,34.26,3700000000000.0
SILO.JK,2023,83.06,11070000000000.0
SILO.JK,2024,93.78,12270000000000.0
SIMP.JK,2023,16.0,13690000000000.0
SIMP.JK,2024,17.6,15180000000000.0
SMBR.JK,2023,,1730000000000.0
SMBR.JK,2024,,1880000000000.0
SMCB.JK,2023,,9570000000000.0
SMCB.JK,2024,,10300000000000.0
SMGR.JK,2023,400.07,38840000000000.0
SMGR.JK,2024,483.25,40430000000000.0
SMRA.JK,2023,52.9,6430000000000.0
SMRA.JK,2024,60.48,7190000000000.0
SPTO.JK,2023,,2460000000000.0
SRIL.JK,2023,,14910000000000.0
SRIL.JK,2024,,16210000000000.0
SRTG.JK,2023,215.32,3410000000000.0
SRTG.JK,2024,165.32,3030000000000.0
SSIA.JK,2023,20.94,4090000000000.0
SSIA.JK,2024,49.24,4550000000000.0
SSMS.JK,2023,,5300000000000.0
SSMS.JK,2024,,5090000000000.0
SUPR.JK,2023,,1910000000000.0
SUPR.JK,2024,,2400000000000.0
TBIG.JK,2023,65.87,6650000000000.0
TBIG.JK,2024,71.93,6930000000000.0
TBLA.JK,2023,120.0,15980000000000.0
TBLA.JK,2024,131.2,17100000000000.002
TINS.JK,2023,-10.1,8470000000000.001
TINS.JK,2024,-4.6,8830000000000.0
TLKM.JK,2023,262.64,151720000000000.0
TLKM.JK,2024,282.71,158110000000000.0
TOTO.JK,2023,,1920000000000.0
TOWR.JK,2023,68.25,11670000000000.0
TOWR.JK,2024,73.17,12330000000000.0
TPIA.JK,2023,15.47,35000000000000.0
TPIA.JK,2024,15.47,38370000000000.0
ULTJ.JK,2023,114.41,8240000000000.0
ULTJ.JK,2024,136.85,9130000000000.0
UNTR.JK,2023,5391.91,125070000000000.0
UNTR.JK,2024,4516.51,115120000000000.0
UNVR.JK,2023,144.45,40870000000000.0
UNVR.JK,2024,153.9,42550000000000.0
VIVA.JK,2023,,3600000000000.0
WIKA.JK,2023,-567.3,23940000000000.0
WIKA.JK,2024,-323.0,26390000000000.0
WINS.JK,2023,,954690000000.0
WINS.JK,2024,,1010000000000.0
WOOD.JK,2023,,7540000000000.0
WOOD.JK,2024,,8750000000000.0
WSKT.JK,2023,,15300000000000.0
WSKT.JK,2024,,18630000000000.0
WTON.JK,2023,,7100000000000.0
WTON.JK,2024,,7690000000000.0
