symbol,revenue_year_ago,total_revenue,basic_eps,sub_sector_id
AALI.JK,21830000000.0,21828591000000.0,897.08,2
ABBA.JK,,170217448535.0,-5.59,13
ABDA.JK,,786454784000.0,147.0,4
ABMM.JK,,22388760523151.3,1518.47286030377,18
ACES.JK,6540000000.0,6762803342146.0,38.83,14
ACST.JK,3030000000.0,1036870000000.0,-35.0,27
ADCP.JK,,592687713783.0,4.97,7
ADES.JK,,1290992000000.0,619.0,2
ADHI.JK,11060000000.0,13549010228584.0,18.59,27
ADMF.JK,,6607917000000.0,1606.0,20
ADMG.JK,,2211325200726.05,-106.86926495406,8
ADMR.JK,,14065575786941.4,125.455224076505,18
ADRO.JK,118830000000000.0,125492380506450.0,1244.02019726233,18
AGII.JK,,2612464000000.0,32.63,8
AGRO.JK,711420000.0,733438593000.0,0.5,19
AGRS.JK,,531947000000.0,4.76,19
AISA.JK,4920000000.0,1843760000000.0,-6.7,2
AKPI.JK,,3105631649000.0,346.0,8
AKRA.JK,47270000000.0,47539986604000.0,121.77,18
ALDO.JK,,1401914243306.0,49.59,8
ALMI.JK,,1250104574282.15,-12.8398000937559,8
AMAG.JK,,1025174188000.0,34.05,4
AMAN.JK,,137940281000.0,9.265366,7
AMAR.JK,,821134542000.0,-12.0,19
AMFG.JK,,5571767000000.0,1008.0,5
AMMN.JK,,43833776502943.9,235.499590380649,8
AMRT.JK,96920000000.0,96924686000000.0,68.76,15
ANDI.JK,,317855645702.0,-1.15,2
ANJT.JK,,4168934728023.83,100.673945246578,2
ANTM.JK,45930000000.0,45930356000000.0,159.0,8
APEX.JK,,1254192463061.33,-357.779713107069,18
APIC.JK,,2267622221630.0,12.96,21
APLN.JK,,8663824988000.0,87.88,7
ARCI.JK,,3352849285309.43,9.29297956122257,8
ARGO.JK,,75484823423.0,-290.05,9
ARII.JK,,3809827342415.15,107.643679917495,18
ARKA.JK,,213082547296.0,3.06,5
ARKO.JK,,247884492874.0,20.0,29
ARNA.JK,2590000000.0,2586665297217.0,79.25,5
ARTI.JK,,73307080745.0,-7.33,18
ARTO.JK,1350000000.0,1430836000000.0,1.15,19
ASDM.JK,,215219463000.0,97.0,4
ASGR.JK,,2909972000000.0,71.96,25
ASII.JK,301380000000.0,301379000000000.0,715.0,26
ASLC.JK,,479888833536.0,0.04,14
ASMI.JK,,287603496182.0,-9.64,4
ASRI.JK,4490000000.0,4493531259000.0,55.27,7
ASRM.JK,,2060155794451.0,284.0,4
ASSA.JK,1570000000.0,5870093882006.0,28.89,33
ATIC.JK,,7809976522248.0,29.708774,30
AUTO.JK,18580000000.0,18579927000000.0,275.0,10
AVIA.JK,6690000000.0,6694171000000.0,22.61,8
BABP.JK,,789513000000.0,1.87,19
BACA.JK,,508617000000.0,1.61,19
BAJA.JK,,1061799427322.0,-57.41,8
BALI.JK,,978378536736.0,53.9,6
BANK.JK,70290000.0,70603000000.0,-20.0,19
BAPA.JK,,3716043983.0,-5.37,7
BATA.JK,,643454175000.0,-81.47,9
BBCA.JK,87480000000.0,89523508000000.0,330.0,19
BBHI.JK,,761130870333.0,12.43,19
BBKP.JK,,1363878000000.0,-73.073288,19
BBLD.JK,,540194000000.0,53.14,20
BBMD.JK,,1111561875428.0,129.9,19
BBNI.JK,61470000000.0,61278886000000.0,983.0,19
BBRI.JK,141760000000.0,169018860000000.0,338.0,19
BBRM.JK,,144517045705.682,1.71920121882618,18
BBSI.JK,,141734300795.0,23.0,19
BBTN.JK,17270000000.0,16223114000000.0,288.0,19
BBYB.JK,,1737360000000.0,-83.75,19
BCAP.JK,,2695097000000.0,3.2,21
BCIC.JK,,699476000000.0,5.47,19
BCIP.JK,,93742996267.0,10.88,7
BDKR.JK,,477120794735.0,14.508355,27
BDMN.JK,16579999999.999998,17816595000000.0,337.88,19
BEBS.JK,,647964319677.0,13.66,8
BEKS.JK,,242743000000.0,-4.61,19
BELI.JK,,15269078000000.0,-53.0,30
BEST.JK,542830000.0,542834010731.0,3.5,7
BFIN.JK,5380000000.0,5140275000000.0,121.0,20
BGTG.JK,,362073000000.0,2.8,19
BHAT.JK,,124445541699.0,0.6,4
BHIT.JK,,18083695000000.0,8.74,26
BINA.JK,,618426000000.0,26.45,19
BIPI.JK,,677192430797.675,0.0619531970748172,18
BIPP.JK,,327320863485.0,-0.14,7
BIRD.JK,3590000000.0,3590100000000.0,143.0,33
BISI.JK,,2415592000000.0,174.36,2
