symbol,revenue_year_ago,avg_estimate_earnings_current_year,avg_estimate_earnings_next_year,avg_estimate_revenue_current_year,avg_estimate_revenue_next_year,estimate_overall_growth_current_year,estimate_overall_growth_next_year,estimate_overall_growth_next_five_years,total_revenue,basic_eps,sub_sector_id,multiplier,ratio_mult
AALI.JK,21830000000000.0,622.59,649.81,21120000000.0,20750000000.0,-0.306,0.044000000000000004,0.10439999999999999,21828591000000.0,897.08,2,1000,0.9999354557947778
ACES.JK,6540000000000.0,,41.32,6760000000.0,7310000000.0,,,0.1422,6762803342146.0,38.83,14,1000,1.0340677893189603
ADHI.JK,11060000000000.0,,,15160000000.0,15660000000.0,,,0.5831000000000001,13549010228584.0,18.59,27,1000,1.2250461327833635
ADRO.JK,118830000000000.0,705.73,486.17,97540000000000.0,81970000000000.0,-0.39899999999999997,-0.311,-2327.9099,125492380506450.0,1244.02019726233,18,1,1.0560664857902045
AGRO.JK,711420000000.0,,,1140000000.0,1480000000.0,,,,733438593000.0,0.5,19,1000,1.0309502024120774
AKRA.JK,47270000000000.0,127.13,138.67,41010000000.0,42700000000.0,0.044000000000000004,0.091,0.1941,47539986604000.0,121.77,18,1000,1.0057115845991116
AMRT.JK,96920000000000.0,84.81,103.62,107770000000.0,120990000000.0,0.233,0.222,0.215,96924686000000.0,68.76,15,1000,1.0000483491539414
ANTM.JK,45930000000000.0,160.14,172.27,42090000000.0,42810000000.0,0.006999999999999999,0.076,0.1583,45930356000000.0,159.0,8,1000,1.0000077509253211
ARNA.JK,2590000000000.0,,,2950000000.0,3260000000.0,,,,2586665297217.0,79.25,5,1000,0.9987124699679537
ARTO.JK,1350000000000.0,5.96,15.76,1880000000.0,2520000000.0,4.183,1.6440000000000001,,1430836000000.0,1.15,19,1000,1.0598785185185184
ASII.JK,301380000000000.0,779.18,787.79,315250000000.0,318580000000.0,0.09,0.011000000000000001,-0.011000000000000001,301379000000000.0,715.0,26,1000,0.9999966819297896
ASRI.JK,4490000000000.0,19.48,26.96,3230000000.0,3510000000.0,-0.648,0.384,0.1425,4493531259000.0,55.27,7,1000,1.0007864719376391
AUTO.JK,18580000000000.0,364.05,395.63,19690000000.0,21160000000.0,0.324,0.087,,18579927000000.0,275.0,10,1000,0.9999960710441335
AVIA.JK,6690000000000.0,24.83,26.56,7010000000.0,7500000000.0,0.098,0.07,0.1681,6694171000000.0,22.61,8,1000,1.0006234678624812
BANK.JK,70290000000.0,-9.71,6.99,258970000.00000003,684810000.0,0.504,1.72,,70603000000.0,-20.0,19,1000,1.0044529805093185
BBCA.JK,87480000000000.0,398.18,432.0,100370000000.0,109740000000.0,0.207,0.085,0.13,89523508000000.0,330.0,19,1000,1.0233597165066302
BBNI.JK,61470000000000.0,567.55,636.79,63780000000.0,68920000000.0,0.155,0.122,0.146,61278886000000.0,983.0,19,1000,0.9968909386692696
BBRI.JK,141760000000000.0,388.96,433.29,183940000000.0,199040000000.0,0.151,0.114,0.05,169018860000000.0,338.0,19,1000,1.1922887979683974
BBTN.JK,17270000000000.0,238.88,267.47,17610000000.0,19080000000.0,-0.14400000000000002,0.12,0.0766,16223114000000.0,288.0,19,1000,0.9393812391430226
BDMN.JK,16579999999999.998,,,18940000000.0,20380000000.0,,,0.10439999999999999,17816595000000.0,337.88,19,1000,1.0745835343787697
BEST.JK,542830000000.0,14.3,20.3,580000000.0,640000000.0,3.0860000000000003,0.42,0.1,542834010731.0,3.5,7,1000,1.0000073885581122
BFIN.JK,5380000000000.0,94.8,113.7,5320000000.0,6220000000.0,-0.217,0.19899999999999998,0.2535,5140275000000.0,121.0,20,1000,0.9554414498141264
BIRD.JK,3590000000000.0,195.0,215.0,4250000000.0,4960000000.0,0.364,0.10300000000000001,0.1137,3590100000000.0,143.0,33,1000,1.0000278551532034
BJBR.JK,9450000000000.0,183.0,205.0,9200000000.0,10150000000.0,-0.16399999999999998,0.12,0.050300000000000004,10110120000000.0,219.02,19,1000,1.0698539682539683
BJTM.JK,3810000000000.0,,,3860000000.0,4269999999.9999995,,,0.10980000000000001,5291302000000.0,102.75,19,1000,1.3887931758530183
BMRI.JK,124650000000000.0,548.61,601.43,137970000000.0,151150000000.0,0.243,0.096,0.1932,126784392000000.0,441.26,19,1000,1.017123080625752
BMTR.JK,10830000000000.0,,,11830000000.0,,,,,12233495000000.0,72.0,13,1000,1.1295932594644507
BNGA.JK,18130000000000.0,253.9,278.6,20000000000.0,21350000000.0,0.256,0.09699999999999999,0.0527,18871819000000.0,202.21,19,1000,1.0409166574738002
BNII.JK,6250000000000.0,,,7130000000.0,7910000000.0,,,0.4028,9183547000000.0,19.3,19,1000,1.46936752
BRIS.JK,15590000000000.0,114.89,135.5,20950000000.0,23210000000.0,0.12,0.179,,18382517000000.0,102.54,19,1000,1.179122322001283
